"ДИАМЕТР, мм",КОД IADC,ПРИСОЕДИНИТЕЛЬНАЯ РЕЗЬБА,АРТИКУЛ
171,522,3 1/2 APIReg,ATR-SH171-522J
171,532,3 1/2 APIReg,ATR-SH171-532J
171,632,3 1/2 APIReg,ATR-SH171-632J
171,722,3 1/2 APIReg,ATR-SH171-722J
200,532,4 1/2 APIReg,ATR-SH200-532J
200,632,4 1/2 APIReg,ATR-SH200-632J
200,642,4 1/2 APIReg,ATR-SH200-642J
215.9,542,4 1/2 APIReg,ATR-SH216-542J
215.9,632,4 1/2 APIReg,ATR-SH216-632J
215.9,642,4 1/2 APIReg,ATR-SH216-642J
215.9,732,4 1/2 APIReg,ATR-SH216-732J
228.6,522,4 1/2 APIReg,ATR-SH228-522J
228.6,542,4 1/2 APIReg,ATR-SH228-542J
228.6,632,4 1/2 APIReg,ATR-SH228-632J
228.6,635,4 1/2 APIReg,ATR-SH228-635J
228.6,722,4 1/2 APIReg,ATR-SH228-722J
244.5,632,Pin 4 1/2 FH,ATR-SH244-632J
244.5,722,Pin 4 1/2 FH,ATR-SH244-722J
244.5,742,Pin 4 1/2 FH,ATR-SH244-742J
250.8,512,Pin 6 5/8 Reg,ATR-SH250-512J
250.8,622,Pin 6 5/8 Reg,ATR-SH250-622J
250.8,637,Pin 6 5/8 Reg,ATR-SH250-637J
